           0           3
           1           2
           2           2
           3           2
           4           2
           5           2
           6           2
           7           2
           8           2
           9           2
          10           2
          11           2
          12           2
          13           2
          14           2
          15           2
          16           2
          17           2
          18           2
          19           2
          20           2
          21           2
          22           2
          23           2
           0           3
           1           2
           2           2
           3           2
           4           2
           5           2
           6           2
           7           2
           8           2
           9           2
          10           2
          11           2
          12           2
          13           2
          14           2
          15           2
          16           2
          17           2
          18           2
          19           2
          20           2
          21           2
          22           2
          23           2
           0           3
           1           2
           2           2
           3           2
           4           2
           5           2
           6           2
           7           2
           8           2
           9           2
          10           2
          11           2
          12           2
          13           2
          14           2
          15           2
          16           2
          17           2
          18           2
          19           2
          20           2
          21           2
          22           2
          23           2
           0         126
           1         126
           2         126
           3         126
           4         126
           5         126
           6         126
           7         126
           8         126
           9         126
          10         125
          11         125
          12         125
          13         125
          14         125
          15         125
          16         125
          17         125
          18         125
          19         125
          20         125
          21         125
          22         125
          23         125
